"연월","station","합계_승차수(명)","합계_하차수(명)","KTX_승차수(명)","KTX_하차수(명)","새마을_승차수(명)","새마을_하차수(명)","무궁화_승차수(명)","무궁화_하차수(명))","통근열차_승차수(명)","통근열차_하차수(명)","누리로_승차수(명)","누리로_하차수(명)","KTX산천_승차수(명)","KTX산천_하차수(명)","ITX새마을_승차수(명)","ITX새마을_하차수(명)","ITX청춘열차_승차수(명)","ITX청춘열차_하차수(명)","KTX호남_승차수(명)","KTX호남_하차수(명)"
"201701","안양","15196","11950","0","0","0","0","13576","10145","0","0","1620","1805","0","0","0","0","0","0","0","0"
"201701","수원","462949","476681","48202","51885","22489","20908","290645","296686","0","0","13433","14225","0","0","83078","87705","0","0","5102","5272"
"201701","오산","5552","6405","0","0","0","0","3847","5308","0","0","1705","1097","0","0","0","0","0","0","0","0"
"201701","서정리","1143","1381","0","0","0","0","1143","1381","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","평택","169595","174362","0","0","6641","4486","138922","145010","0","0","6195","6746","0","0","17837","18120","0","0","0","0"
"201701","도농","2","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","덕소","1244","1414","0","0","0","0","1244","1414","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","양평","26920","26423","0","0","0","0","24998","25215","0","0","0","0","0","0","1922","1208","0","0","0","0"
"201701","용문","7821","7350","0","0","0","0","7821","7350","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","지평","1037","840","0","0","0","0","1037","840","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","석불","41","50","0","0","0","0","41","50","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","일신","390","335","0","0","0","0","390","335","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","매곡","403","269","0","0","0","0","403","269","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","양동","5688","5904","0","0","0","0","5688","5904","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","삼산","67","67","0","0","0","0","67","67","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","행신","53524","51108","39463","32123","0","0","0","0","0","0","0","0","14061","18406","0","0","0","0","0","579"
"201701","능곡","33","31","0","0","33","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","문산","52","56","0","0","52","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
